placebo,drug
189.66161375787502,192.90404352825445
216.5322006129984,200.53264780136362
191.47849222974486,187.85486113548626
182.80160870384097,190.3244013792014
194.49054050956585,200.01028656142452
189.31953694243066,171.7003678257119
183.23471076694506,199.1764555953269
198.5334773827087,196.95873237132943
202.1335298399669,187.08138877786098
192.90566323305387,183.4178338284079
194.18740529661954,172.1115913033329
178.13034478004107,196.11746791817467
196.08125676419624,191.06511359859846
213.32510555730389,186.4451248595183
195.10325438221054,190.65804413643414
202.11237958135118,184.979887477505
203.52302118683767,196.790061398256
209.40915789889968,194.53495442630904
211.61598670404823,186.55262595412358
196.99625554663405,189.277230511779
192.34067476632913,185.1252780493654
179.56045344807822,184.54571656396584
195.7301507308994,198.25864173022697
198.52927351694473,193.52982590437085
197.39878069297487,166.04724249071288
193.9101110747775,197.703868895126
204.4626947199772,187.21030240399125
179.42875293005878,179.75401913303557
195.16429992866955,193.62235511879163
195.34192626704808,191.73854775422336
215.57992947014574,178.40165210240346
197.72064139246302,192.50051094336752
172.56802904664275,200.12925102049638
187.8662050108173,204.90881170555124
196.09949045141437,186.97342770319415
189.04241237282858,192.584497429041
208.89893988020805,184.36012820612513
198.52178830795805,206.78784023283288
183.98656153108317,202.70211717838163
200.57996398051614,178.6998572429456
191.8877128320462,182.16937123273917
193.3681769475313,198.22618379902914
201.0585117444318,212.7829566537928
190.14808649111782,178.04774304004545
206.36120464683069,197.18219570054015
191.49454713832276,187.9364591211612
198.8064975500863,189.99921663840092
194.9573496238175,175.80297400243103
180.29261283359162,185.9458134189928
201.2692783581922,197.7020533662463
198.70241504603734,185.77584036574493
202.70608998914946,186.59995468904356
194.10054317840866,212.93781447097106
188.81914190742935,182.36554867085187
181.91081934574632,192.28424848194595
187.541256440018,182.01706735821773
196.0293519043179,189.5679734004178
173.59770860143396,179.53177940427736
193.16819235735937,198.73743791261086
182.12084043738284,201.68509840727276
201.48878961418268,194.3826176229152
192.43672892959017,199.15411085271566
194.06526995148823,182.5270210048738
183.15977617829148,182.82360370160666
176.8306363851049,187.0524100647495
186.5736756725791,187.1431094496897
184.1393667330654,183.15976003892874
198.08393314812167,192.34573707871058
180.958915054241,196.04172266545118
181.43888079618847,169.78809884586758
189.1620411097422,206.38878107484686
190.81591632348378,196.45569606129587
188.99359343264751,196.068960908125
172.7525950867125,177.71492871026922
199.5118541217184,191.42625285221024
195.08754154008324,179.28788838898421
193.56455944469548,200.01290793559446
188.0379212706975,187.99324733773608
192.4381869012704,186.06195586271656
202.80000097818956,189.44931237128426
171.39626634637526,199.87259112335485
194.01272415511113,185.37838586642408
193.32935454799463,204.33858550534026
188.06256587943594,184.26885854961594
196.92556384569383,206.9167478823133
193.0040237894594,186.23218392392204
173.16465888426677,191.93431041826693
196.09103229967468,213.77770548209713
171.8805277918242,181.0543961530996
186.9866119035094,190.69590679389484
182.01341641501315,183.7269267054456
190.91948660186247,184.6962153215244
195.99838485655857,176.42553227554126
174.39744049562728,182.990798388583
172.28332519220058,189.39963112919136
188.75183312573606,188.71694207994383
