placebo,drug
292.2250962267077,283.20626561806193
269.83694647725986,295.2909011499328
306.31042538773846,296.7947703900485
282.3799636549219,304.8515098025529
304.32283794768153,309.7144340788374
303.7932138875364,292.9223987190438
301.04584938563585,308.9589774876224
297.393987333456,275.79409178754736
289.6118149918053,318.1040670367705
274.5170539064731,309.3464192992059
300.1130362463275,292.1741672720528
310.39947201107117,293.16890418084824
286.28171106196163,311.06480266772536
293.58145709865687,320.9217906735497
285.1007273369067,293.05917556091805
312.7520280103147,300.0910201530263
292.9052363050207,301.17026811337325
305.6048252986473,287.4570797760023
311.0515742313553,272.6586443707582
291.72607938423465,284.1449920309375
322.2414040350776,301.566569866226
284.53916347502803,299.70704026675537
290.8799863208694,288.8881749964536
297.0207073295767,290.59035962756485
258.6904150516563,282.07391904541396
303.3786642579024,300.13551210710114
296.4109889213438,312.4052302564752
309.3064215282755,274.7083723625424
323.5284226141755,278.4094248980906
294.0345670457595,266.89956029599034
306.01167470124176,296.5010229884995
295.1662597211367,296.2038823337917
293.16560145511255,283.73361287707456
302.0888842337776,285.6557230759374
306.4440095928863,328.2881848273227
317.87053718498976,293.41079076471624
311.0901554383362,276.12381846860285
311.0595739712684,274.565238674297
305.19028085114314,334.36848966245566
290.019420139651,291.35216235132094
325.8912008591394,310.07854610032547
289.9004151906097,304.2122853327644
306.2289368382406,306.60795642587425
272.12788146345156,271.773682944098
316.21242514870016,273.25287045449625
302.06273474815674,272.98165186917697
298.2853480800267,294.9939127350838
295.15636535970935,324.31735630097415
287.9282407942817,283.9366705625915
276.0064648808199,298.13286976177886
318.07311247336884,342.16321887873715
315.2076793314964,297.6723041160803
295.9196269346751,314.5613065668273
300.0729778208568,264.51171884631606
293.66705731123506,303.169933729873
319.1926637552934,293.8122324397504
289.84121684363123,315.0552212999029
288.2484704180205,268.49539089810327
311.2652520478968,274.2050090018102
310.42658652661197,289.2750217707924
292.12659320172355,301.5974355290431
309.1334120743019,312.99694007733984
275.6380690080237,312.6880637402701
319.2728950742945,300.4100991221335
317.72195694545314,311.92858946991157
309.05805430855366,304.94399090391363
310.0233692942137,318.94546994481175
271.24882068443384,290.85238523623116
303.9746866142391,291.95648632113654
289.95992810616696,294.731137867768
283.8684782633016,279.2991198559438
305.59065053375764,290.6352366341332
303.0756544335911,291.50364732111706
291.4614017976953,295.88298361745126
278.6825145087014,272.68059570688234
280.79487414752475,293.7007209522417
298.11399249430434,310.43697063417153
312.36914752128945,299.8784526989325
290.53117255090433,297.8265082106726
312.2845937924166,281.3943239179067
284.1792010438714,286.1466354363792
283.3487450344419,283.11107688379616
296.83335804636465,307.80755433884036
303.0955300106624,287.6136486323628
290.6562545188529,289.44975545887837
285.82228331499016,309.22804906183717
319.27529189190426,279.04826550054906
313.4599699531323,276.2202605060041
303.2277484127248,277.90077746677184
295.8440828115921,286.51778343925434
277.48127629313746,310.59680978525864
287.8231038056854,300.620273283609
271.4857934273518,269.45032430413664
307.78708967897785,322.5506773617412
323.0563547060681,297.2032238586075
275.7554903985701,314.3057537089142
299.10289018876546,307.705158300881
282.11791499134927,304.4026907965078
329.65238744664987,303.1792305381827
302.9502370966683,309.4829997528121
287.21795643829273,274.35132596599414
285.20949925046847,296.3519355749457
320.11596902361634,271.6126129198577
329.22542097559426,297.07461928095444
317.27229246280194,286.3129971667489
