,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
1554,305.2317979214796,826.3715676697682,271.1616397685742,575.8379672369034,74.38264230099837,828.8041235048669,781.9407729549224,699.3814493695788,,456.9211034538035,1003.5018633709964,977.2161098781681,65.15190867540406,2.0,507.4727409630732,100.01766355222165
3177,307.9675352365409,745.9933924115663,275.1359672448148,495.48331996789653,85.39194312940587,812.09605964512,883.279396807741,579.0579478842251,599.3571853636665,392.0104153087463,930.230880365704,831.4412348011432,67.81071961196099,2.0,576.916963469929,-171.3752871377842
7693,303.7853146243312,803.0179836419137,,636.3663280265733,72.92983392771987,789.8694394051274,977.9526034883858,579.0792026919678,802.8325612255712,430.4855008371853,931.5252830177349,485.055554345954,67.90562722797446,2.0,503.4956614022922,-522.3748486856105
1256,304.23046047948685,854.3673092938924,297.57637728871487,616.9072415118371,112.59334940801337,816.439543259755,899.1492312049055,656.4190764458353,635.2447571132872,457.0141928701595,808.0859323870344,580.2491373055576,58.68990200185389,2.0,496.6056138013692,-131.27653986995676
2355,302.50468930494566,860.7995624331392,259.6508020266841,646.6346303998669,117.83891720749422,831.0766696734532,785.2534818448723,618.7294040406845,,450.2058232298434,908.3032570698009,844.7683031813795,69.06796469672157,2.0,480.67447866918883,-1.3752515890133168
7995,303.24213930546625,918.7900679439272,277.94192406574706,627.8644094202452,107.47701994361489,853.6037277971728,789.8122752029585,597.5890146346965,759.9371836548473,505.013429935798,937.7787561712262,618.3543658859986,62.34153865984029,2.0,381.0702276262872,-236.1317387870863
6374,307.20906746406297,848.6254493508698,283.6558139816941,588.3147966597857,80.56948892660665,875.7494948032058,731.8977536319113,624.3960016627382,513.6370812735839,420.6013163526244,748.4456247880108,558.4224643840578,68.63441416212073,2.0,492.7516567720172,-43.29211340161751
649,305.543349131748,749.1093208769972,277.973885450129,571.2292109616693,83.91260140794972,759.4641342140362,994.6091965134489,716.6272886259592,553.0450923913479,565.7330240694935,856.7615222621761,820.6625687868876,66.07752839536944,2.0,447.5680171283384,29.285497640791505
3849,308.10444992888216,,269.01947866305744,681.7109369603947,88.49502262994717,669.5547102724198,981.731576160282,649.0322407737794,672.2206305337953,469.84449957013925,974.8082257126141,677.2545780080999,62.39995707860659,2.0,382.09522903350364,-201.93875370589035
1755,,944.27638595692,287.7298104806497,644.1156291671991,88.32650406989112,994.3470758017035,928.7449706244181,566.227673510766,542.4830804536105,478.25750063922396,944.5013432616034,685.4698357308604,69.17955008898738,2.0,333.3523130810974,-128.34674301839087
7625,308.2358168852289,772.7975604901022,289.27334885564403,688.0878145469205,82.98012939092264,1086.7462650848202,950.009385256785,657.9806175493924,706.6233660993507,349.66007117340274,915.0338241305305,739.70182871806,70.5947209963479,2.0,517.9656927162448,-231.8375968012572
4579,308.11157430073774,702.2175847924092,270.4452847331522,631.7988248223137,104.335634479921,782.8449919085008,766.4704599429623,507.4899569619922,599.3669975749465,391.80104102178376,876.3241966102618,885.1164434667353,76.33407224051298,2.0,589.9814421598949,-143.54534522867047
2565,308.9471010530792,632.2568817258291,277.7943455919268,,96.93489383013916,665.0083356958688,955.2362005365414,541.1842192228053,682.9781445792491,,1028.9954533090686,857.7771305709874,73.54939433506561,,447.4460940951878,-307.3727616697531
3386,304.9120780573658,1037.940874645357,278.44599117709885,546.3248934464322,89.3611508789396,1007.2636387801416,883.2227752760524,665.9757458202726,612.1610591705463,521.9808784210592,954.2009563410712,865.3791498902709,71.73251834712346,2.0,457.1133065111135,38.90262471936626
2484,303.3383628304797,994.5855963843055,260.87898868512457,651.249741516388,72.46118717050884,616.8578043947318,863.3572977120282,624.9526016302711,672.8419691836075,503.80360491053216,987.0478298499368,832.9471802043753,,2.0,427.26352098105895,25.09541450311002
6894,304.3149518225172,826.6486957759886,284.9521693489887,596.3800552745863,86.72317785134165,981.4688307701798,900.3535048203438,732.2716029251658,789.5446035928591,455.8936632851442,995.2373797637089,444.9568306127176,80.97406999649198,2.0,321.649738728042,-377.58702747239613
917,309.2034669251038,907.9853039114886,281.1673100914653,637.1317159865521,93.90906994461092,726.0070141021217,878.6909058220594,694.7811517179282,706.3811832298964,524.4475235929435,924.0354314327384,659.7596238630272,61.12026290582613,2.0,530.4493693240389,-140.60417766367345
149,307.0609024407249,,275.48953360913737,645.1075910050625,75.80803933695087,946.9667004681218,897.8954540542433,602.7166035724549,641.9795090832266,527.8507483937526,996.7623191236146,769.8914671625996,65.79568730918545,2.0,368.6276508490026,-187.1044129094861
